icd10_chapter,chapter_name,description
A,"Certain infectious and parasitic diseases","A00-B99: Infections and parasitic"
B,"Certain infectious and parasitic diseases","A00-B99 continued"
C,"Neoplasms","C00-D49: Cancers and tumors"
D,"Neoplasms / Diseases of blood","C00-D49 / D50-D89"
E,"Endocrine, nutritional, metabolic","E00-E89: Diabetes, thyroid, obesity"
F,"Mental and behavioural disorders","F00-F99: Anxiety, depression, etc."
G,"Diseases of the nervous system","G00-G99: Neurological"
H,"Diseases of the eye, ear","H00-H95"
I,"Diseases of the circulatory system","I00-I99: Hypertension, MI, stroke"
J,"Diseases of the respiratory system","J00-J99: Asthma, COPD, pneumonia"
K,"Diseases of the digestive system","K00-K95: GERD, IBD, gallbladder"
L,"Diseases of the skin","L00-L99"
M,"Diseases of the musculoskeletal system","M00-M99: Joint, back pain"
N,"Diseases of the genitourinary system","N00-N99: Kidney, urinary"
O,"Pregnancy, childbirth","O00-O9A"
P,"Conditions originating in the perinatal period","P00-P96"
Q,"Congenital malformations","Q00-Q99"
R,"Symptoms, signs, abnormal findings","R00-R99"
S,"Injury, poisoning","S00-T88"
T,"Injury, poisoning","S00-T88 continued"
V,"External causes of morbidity","V00-Y99"
W,"External causes of morbidity","V00-Y99 continued"
X,"External causes of morbidity","V00-Y99 continued"
Y,"External causes of morbidity","V00-Y99 continued"
Z,"Factors influencing health status","Z00-Z99: Wellness exams, immunisations"
